Closed School,Address,Repurposed?,Community area,lat,lon
"Armstrong, L",5345 W Congress Pkwy,no,Austin,41.8738115989779,-87.7583220665326
Attucks,5055 S State St,no,Grand Boulevard,41.8027561337295,-87.6258198217613
Bontemps,1241 W 58th St,no,West Englewood,41.7885948168069,-87.6561408345195
Buckingham,9207 S Phillips Ave,no,Calumet Heights,41.7279629453211,-87.5644547507192
Burnham,1903 E 96th St,no,South Deering,41.720527061921,-87.5772024012561
Calhoun,2833 W Adams St,no,East Garfield Park,41.8782463473708,-87.6970315897814
Canter,4959 S Blackstone Ave,yes,Kenwood,41.8049970614913,-87.5904643099869
Courtenay,1726 W Berteau Ave,no,Lake View,41.9579979161125,-87.671818561459
Dett,2306 W Maypole Ave,no,Near West Side,41.8839713427049,-87.6854552505938
Dodge,2651 W Washington Blvd,yes,East Garfield Park,41.8828423838957,-87.69274387569
Drake,2722 S King Dr,yes,Douglas,41.8441816733447,-87.6173493527546
DuPrey/Von Humboldt,2620 W Hirsch St,yes,West Town,41.9067031130151,-87.6928899224892
Earle,6121 S Hermitage Ave,no,West Englewood,41.7826877161599,-87.6678426838272
Emmet,5500 W Madison St,no,Austin,41.8803578984221,-87.7631976453242
Fiske,6145 S Ingleside Ave,no,Woodlawn,41.7834043498407,-87.6026618534582
Goldblatt,4257 W Adams St,no,West Garfield Park,41.8386102108281,-87.6866108713176
Henson,1326 S Avers Ave,no,North Lawndale,41.8638997769478,-87.7215376355165
Key,517 N Parkside Ave,no,Austin,41.8895825013756,-87.7663818748754
King,740 S Campbell Ave,no,Near West Side,41.8719254651935,-87.6887007549311
Kohn,10414 S State St,no,Roseland,41.7048486729075,-87.6235450254565
Lafayette,2714 W Augusta Blvd,yes,West Town,41.8993854291593,-87.6948695911459
Leland,5221 W Congress Pkwy,yes,Austin,41.873847719528,-87.755369986175
Marconi,230 N Kolmar Ave,yes,West Garfield Park,41.8840510349963,-87.7392986623087
Mays,838 W Marquette Rd,no,Englewood,41.7725431092573,-87.6459688268395
Melody,412 S Keeler Ave,no,West Garfield Park,41.8750861524253,-87.7304715255639
Morgan,8407 S Kerfoot Ave,no,Auburn Gresham,41.7414891231061,-87.6403420504204
Near North,739 N Ada St,yes,West Town,41.8951680151481,-87.6612891990083
Overton,221 E 49th St,yes,Grand Boulevard,41.805585238645,-87.620776558041
Owens,12450 S State St,yes,West Pullman,41.6679338378407,-87.622392894471
Paderewski,2221 S Lawndale Ave,no,South Lawndale,41.8509607914028,-87.7173232912207
Parkman,245 W 51st St,no,Fuller Park,41.801716981483,-87.6325879234019
Peabody,1444 W Augusta Blvd,yes,West Town,41.8998588161527,-87.6636077639115
Pershing,3113 S Rhodes Ave,no,Douglas,41.838146799654,-87.6134019426363
Pope,1852 S Albany Ave,yes,North Lawndale,41.856017174671,-87.7029430919304
Ross ,6059 S Wabash Ave,no,Washington Park,41.7844860350662,-87.6237288046091
Songhai,11725 S Perry Ave,no,West Pullman,41.6811912722398,-87.6251237196737
Stewart,4525 N Kenmore Ave,yes,Uptown,41.9644583629858,-87.6561004586789
Trumbull,5200 N Ashland Ave,yes,Edgewater,41.9761853704306,-87.6697043456129
"Ward, L ",410 N Monticello Ave,no,Humboldt Park,41.8898760326767,-87.7175149918643
Wentworth,6950 S Sangamon St,no,Englewood,41.7678500493694,-87.6482135267668
West Pullman,11941 S Parnell Ave,no,West Pullman,41.6771354282376,-87.6357786844519
Woods ,6206 S Racine Ave,no,West Englewood,41.7813032847767,-87.6546366693177
Yale,7025 S Princeton Ave,no,Greater Grand Crossing,41.7666173659793,-87.6321567651453
